"specimen_collection_date","race_ethnicity","new_confirmed_cases","cumulative_confirmed_cases","last_updated"
2020-05-09,"White",0,341,2020-09-21 14:20:28
2020-04-14,"Asian",9,181,2020-09-21 14:20:28
2020-03-14,"Asian",2,8,2020-09-21 14:20:28
2020-03-16,"Asian",7,17,2020-09-21 14:20:28
2020-04-15,"Asian",7,188,2020-09-21 14:20:28
2020-04-16,"Asian",3,191,2020-09-21 14:20:28
2020-04-17,"Asian",8,199,2020-09-21 14:20:28
2020-04-18,"Asian",0,199,2020-09-21 14:20:28
2020-04-19,"Asian",1,200,2020-09-21 14:20:28
2020-04-20,"Asian",4,204,2020-09-21 14:20:28
2020-04-21,"Asian",5,209,2020-09-21 14:20:28
2020-04-22,"Asian",4,213,2020-09-21 14:20:28
2020-04-23,"Asian",5,218,2020-09-21 14:20:28
2020-04-24,"Asian",4,222,2020-09-21 14:20:28
2020-04-25,"Asian",5,227,2020-09-21 14:20:28
2020-04-26,"Asian",3,230,2020-09-21 14:20:28
2020-04-27,"Asian",2,232,2020-09-21 14:20:28
2020-04-28,"Asian",5,237,2020-09-21 14:20:28
2020-04-29,"Asian",9,246,2020-09-21 14:20:28
2020-04-30,"Asian",6,252,2020-09-21 14:20:28
2020-05-01,"Asian",4,256,2020-09-21 14:20:28
2020-05-02,"Asian",4,260,2020-09-21 14:20:28
2020-05-03,"Asian",2,262,2020-09-21 14:20:28
2020-05-04,"Asian",1,263,2020-09-21 14:20:28
2020-05-05,"Asian",2,265,2020-09-21 14:20:28
2020-05-06,"Asian",4,269,2020-09-21 14:20:28
2020-05-07,"Asian",1,270,2020-09-21 14:20:28
2020-05-08,"Asian",2,272,2020-09-21 14:20:28
2020-05-09,"Asian",1,273,2020-09-21 14:20:28
2020-05-10,"Asian",0,273,2020-09-21 14:20:28
2020-05-11,"Asian",3,276,2020-09-21 14:20:28
2020-05-12,"Asian",11,287,2020-09-21 14:20:28
2020-05-13,"Asian",2,289,2020-09-21 14:20:28
2020-05-14,"Asian",3,292,2020-09-21 14:20:28
2020-05-15,"Asian",4,296,2020-09-21 14:20:28
2020-05-16,"Asian",4,300,2020-09-21 14:20:28
2020-05-17,"Asian",1,301,2020-09-21 14:20:28
2020-05-18,"Asian",4,305,2020-09-21 14:20:28
2020-05-19,"Asian",0,305,2020-09-21 14:20:28
2020-05-20,"Asian",3,308,2020-09-21 14:20:28
2020-05-21,"Asian",8,316,2020-09-21 14:20:28
2020-05-22,"Asian",0,316,2020-09-21 14:20:28
2020-05-23,"Asian",3,319,2020-09-21 14:20:28
2020-05-24,"Asian",1,320,2020-09-21 14:20:28
2020-05-25,"Asian",0,320,2020-09-21 14:20:28
2020-05-26,"Asian",3,323,2020-09-21 14:20:28
